iter	Passed	Remaining
548	8970	22287
549	8986	22270
550	9002	22253
551	9018	22234
552	9035	22221
553	9052	22206
554	9067	22185
555	9082	22166
556	9096	22145
557	9112	22127
558	9130	22114
559	9146	22098
560	9159	22075
561	9175	22056
562	9192	22041
563	9208	22024
564	9226	22012
565	9244	21999
566	9261	21986
567	9275	21964
568	9294	21954
569	9312	21940
570	9326	21920
571	9346	21911
572	9365	21900
573	9380	21882
574	9399	21873
575	9417	21859
576	9434	21845
577	9450	21828
578	9466	21810
579	9482	21794
580	9498	21777
581	9513	21757
582	9529	21738
583	9543	21718
584	9559	21701
585	9573	21680
586	9590	21665
587	9604	21643
588	9621	21627
589	9636	21608
590	9659	21606
591	9675	21591
592	9692	21574
593	9708	21558
594	9723	21539
595	9739	21522
596	9755	21503
597	9771	21487
598	9786	21469
599	9802	21452
600	9817	21432
601	9833	21414
602	9849	21398
603	9865	21381
604	9880	21361
605	9896	21344
606	9912	21326
607	9929	21313
608	9944	21293
609	9960	21276
610	9977	21261
611	9993	21243
612	10008	21225
613	10024	21207
614	10039	21189
615	10055	21171
616	10085	21185
617	10100	21164
618	10116	21148
619	10136	21138
620	10152	21123
621	10170	21109
622	10187	21093
623	10203	21077
624	10218	21057
625	10232	21037
626	10248	21019
627	10267	21008
628	10282	20990
629	10298	20972
630	10318	20965
631	10339	20957
632	10357	20943
633	10374	20929
634	10391	20914
635	10410	20903
636	10426	20884
637	10442	20869
638	10459	20852
639	10474	20834
640	10489	20816
641	10508	20803
642	10526	20790
643	10543	20775
644	10558	20756
645	10574	20740
646	10589	20720
647	10604	20700
648	10619	20682
649	10635	20664
650	10650	20646
651	10665	20627
652	10681	20610
653	10695	20590
654	10711	20571
655	10726	20553
656	10742	20536
657	10758	20519
658	10773	20501
659	10788	20481
660	10805	20467
661	10820	20448
662	10837	20432
663	10853	20414
664	10868	20396
665	10884	20379
666	10899	20360
667	10915	20344
668	10933	20330
669	10946	20308
670	10960	20287
671	10978	20273
672	10993	20254
673	11010	20239
674	11025	20221
675	11040	20202
676	11055	20183
677	11070	20165
678	11087	20150
679	11102	20131
680	11117	20113
681	11133	20095
682	11148	20077
683	11163	20059
684	11180	20042
685	11195	20023
686	11210	20005
687	11226	19989
688	11243	19974
689	11262	19961
690	11278	19944
691	11293	19926
692	11310	19912
693	11331	19904
694	11351	19894
695	11369	19880
696	11388	19868
697	11405	19853
698	11422	19838
699	11438	19820
700	11453	19802
701	11468	19784
702	11482	19763
703	11499	19748
704	11515	19731
705	11546	19739
706	11563	19724
707	11579	19708
708	11597	19694
709	11617	19683
710	11633	19666
711	11649	19649
712	11683	19664
713	11699	19646
714	11714	19628
715	11732	19614
716	11750	19600
717	11768	19586
718	11784	19569
719	11801	19553
720	11816	19536
721	11831	19517
722	11846	19499
723	11863	19483
724	11881	19468
725	11897	19452
726	11915	19437
727	11931	19421
728	11949	19407
729	11966	19392
730	11982	19376
731	11999	19360
732	12020	19350
733	12037	19336
734	12056	19322
735	12072	19305
736	12089	19290
737	12106	19275
738	12123	19260
739	12144	19251
740	12165	19241
741	12184	19228
742	12201	19213
743	12217	19196
744	12234	19180
745	12251	19165
746	12269	19150
747	12284	19133
748	12302	19118
749	12325	19113
750	12346	19102
751	12367	19093
752	12387	19082
753	12412	19079
754	12430	19065
755	12449	19053
756	12466	19037
757	12484	19023
758	12505	19012
759	12522	18998
760	12540	18983
761	12556	18966
762	12572	18949
763	12589	18933
764	12607	18919
765	12625	18905
766	12643	18890
767	12661	18876
768	12679	18862
769	12696	18846
770	12713	18831
771	12729	18814
772	12745	18797
773	12763	18783
774	12780	18767
775	12798	18753
776	12818	18740
777	12836	18726
778	12852	18710
779	12870	18695
780	12885	18676
781	12902	18660
782	12919	18645
783	12937	18630
784	12955	18616
785	12971	18599
786	12986	18581
787	13004	18566
788	13022	18551
789	13039	18535
790	13059	18524
791	13076	18508
792	13093	18492
793	13110	18477
794	13127	18461
795	13143	18444
796	13162	18431
797	13180	18416
798	13201	18406
799	13218	18389
800	13234	18373
801	13251	18356
802	13268	18340
803	13284	18323
804	13305	18313
805	13325	18302
806	13342	18286
807	13360	18271
808	13378	18256
809	13396	18242
810	13413	18226
811	13434	18215
812	13453	18203
813	13471	18188
814	13490	18174
815	13507	18158
816	13523	18141
817	13539	18123
818	13556	18108
819	13574	18094
820	13592	18078
821	13610	18063
822	13627	18047
823	13643	18031
824	13659	18014
825	13676	17997
826	13692	17980
827	13710	17965
828	13727	17950
829	13745	17935
830	13762	17918
831	13780	17904
832	13795	17886
833	13811	17868
834	13830	17855
835	13846	17838
836	13863	17822
837	13881	17807
838	13899	17792
839	13914	17774
840	13930	17756
841	13948	17742
842	13966	17727
843	13984	17711
844	14003	17698
845	14022	17685
846	14038	17667
847	14055	17652
848	14073	17637
849	14091	17622
850	14109	17607
851	14124	17589
852	14140	17571
853	14159	17558
854	14176	17542
855	14194	17527
856	14212	17513
857	14229	17496
858	14245	17479
859	14263	17463
860	14279	17446
861	14300	17436
862	14317	17419
863	14334	17403
864	14351	17388
865	14370	17374
866	14387	17358
867	14407	17345
868	14427	17332
869	14444	17317
870	14460	17299
871	14479	17286
872	14496	17269
873	14513	17253
874	14529	17236
875	14548	17222
876	14567	17208
877	14586	17194
878	14604	17180
879	14621	17164
880	14638	17147
881	14657	17133
882	14674	17117
883	14691	17100
884	14706	17082
885	14723	17066
886	14740	17050
887	14758	17035
888	14775	17019
889	14792	17002
890	14812	16990
891	14830	16975
892	14847	16959
893	14864	16943
894	14880	16926
895	14896	16908
896	14912	16890
897	14930	16876
898	14947	16860
899	14976	16856
900	14992	16839
901	15007	16821
902	15024	16804
903	15040	16787
904	15057	16771
905	15074	16754
906	15091	16738
907	15110	16724
908	15127	16708
909	15142	16690
910	15159	16674
911	15176	16657
912	15193	16641
913	15210	16625
914	15226	16607
915	15243	16591
916	15260	16574
917	15279	16560
918	15299	16548
919	15317	16532
920	15336	16519
921	15357	16506
922	15376	16492
923	15392	16475
924	15410	16459
925	15425	16442
926	15442	16425
927	15461	16410
928	15481	16398
929	15499	16383
930	15516	16366
931	15532	16349
932	15550	16334
933	15568	16319
934	15586	16303
935	15604	16287
936	15619	16269
937	15638	16255
938	15655	16239
939	15674	16224
940	15692	16209
941	15710	16194
942	15727	16178
943	15749	16166
944	15767	16151
945	15786	16137
946	15816	16133
947	15834	16118
948	15850	16101
949	15867	16084
950	15884	16068
951	15902	16052
952	15918	16035
953	15935	16018
954	15952	16002
955	15968	15985
956	15985	15968
957	16007	15957
958	16025	15941
959	16040	15923
960	16055	15905
961	16072	15889
962	16087	15869
963	16102	15852
964	16118	15835
965	16136	15819
966	16154	15803
967	16171	15786
968	16188	15771
969	16206	15755
970	16224	15740
971	16239	15721
972	16258	15706
973	16277	15692
974	16294	15676
975	16313	15661
976	16331	15645
977	16349	15630
978	16367	15614
979	16385	15599
980	16404	15584
981	16424	15571
982	16439	15553
983	16458	15538
984	16476	15522
985	16494	15507
986	16512	15492
987	16530	15476
988	16549	15461
989	16565	15443
990	16582	15428
991	16599	15411
992	16617	15395
993	16635	15380
994	16651	15362
995	16667	15345
996	16682	15327
997	16698	15309
998	16713	15291
999	16729	15274
1000	16746	15257
1001	16762	15239
1002	16776	15221
1003	16793	15204
1004	16812	15189
1005	16830	15174
1006	16845	15156
1007	16861	15138
1008	16877	15121
1009	16894	15104
1010	16909	15086
1011	16924	15068
1012	16941	15051
1013	16957	15034
1014	16973	15017
1015	16989	14999
1016	17005	14982
1017	17021	14964
1018	17037	14947
1019	17054	14930
1020	17068	14912
1021	17084	14894
1022	17100	14876
1023	17115	14859
1024	17131	14841
1025	17147	14824
1026	17162	14806
1027	17179	14789
1028	17198	14774
1029	17215	14758
1030	17233	14742
1031	17248	14725
1032	17269	14711
1033	17288	14697
1034	17305	14680
1035	17323	14664
1036	17342	14649
1037	17359	14633
1038	17376	14617
1039	17392	14599
1040	17408	14582
1041	17423	14564
1042	17439	14547
1043	17454	14528
1044	17472	14513
1045	17490	14497
1046	17505	14478
1047	17524	14464
1048	17540	14447
1049	17558	14431
1050	17572	14412
1051	17588	14395
1052	17606	14379
1053	17624	14363
1054	17639	14345
1055	17655	14328
1056	17671	14310
1057	17687	14293
1058	17701	14274
1059	17716	14256
1060	17731	14238
1061	17752	14225
1062	17767	14207
1063	17784	14191
1064	17801	14174
1065	17818	14157
1066	17834	14140
1067	17849	14122
1068	17865	14105
1069	17882	14088
1070	17898	14071
1071	17915	14054
1072	17932	14038
1073	17948	14021
1074	17964	14003
1075	17981	13987
1076	17999	13971
1077	18016	13954
1078	18032	13938
1079	18046	13918
1080	18061	13900
1081	18076	13883
1082	18090	13864
1083	18105	13846
1084	18119	13827
1085	18137	13811
1086	18155	13796
1087	18171	13778
1088	18189	13763
1089	18206	13746
1090	18223	13730
1091	18241	13714
1092	18264	13702
1093	18279	13684
1094	18299	13670
1095	18315	13652
1096	18332	13636
1097	18351	13621
1098	18367	13604
1099	18382	13586
1100	18398	13569
1101	18416	13553
1102	18433	13537
1103	18449	13519
1104	18465	13502
1105	18482	13486
1106	18498	13468
1107	18515	13452
1108	18532	13435
1109	18549	13418
1110	18564	13401
1111	18581	13385
1112	18599	13368
1113	18615	13351
1114	18632	13335
1115	18649	13318
1116	18664	13300
1117	18680	13283
1118	18697	13266
1119	18712	13249
1120	18729	13232
1121	18745	13215
1122	18762	13199
1123	18779	13182
1124	18794	13164
1125	18809	13146
1126	18826	13129
1127	18843	13113
1128	18859	13096
1129	18876	13079
1130	18891	13061
1131	18905	13043
1132	18922	13027
1133	18939	13010
1134	18953	12991
1135	18970	12975
1136	18987	12958
1137	19003	12941
1138	19019	12924
1139	19034	12906
1140	19050	12889
1141	19065	12872
1142	19081	12854
1143	19097	12837
1144	19115	12821
1145	19130	12803
1146	19146	12786
1147	19161	12768
1148	19176	12751
